id,name,dog_status,is_spayed,is_house_trained,is_declawed,has_special_needs,shots_current,address,country,state,City,gender,age,primary breed,secondary breed,Rank_x,Total Score,Pet Budget Rank,Pet Health and Wellness Rank,Outdoor Pet Friendliness Rank,Rank_y
,,,,,,,,,,,Charlotte,,,,,92.0,40.34,57.0,52.0,96.0,
,,,,,,,,,,,Newark,,,,,93.0,40.28,93.0,27.0,92.0,
,,,,,,,,,,,Norfolk,,,,,94.0,40.11,61.0,94.0,48.0,
,,,,,,,,,,,Mesa,,,,,95.0,39.35,87.0,64.0,74.0,
,,,,,,,,,,,Baltimore,,,,,96.0,37.97,64.0,97.0,51.0,
,,,,,,,,,,,Laredo,,,,,97.0,37.26,9.0,99.0,72.0,
,,,,,,,,,,,Fort Wayne,,,,,98.0,37.06,68.0,57.0,100.0,
,,,,,,,,,,,Buffalo,,,,,99.0,36.92,73.0,92.0,88.0,
,,,,,,,,,,,Honolulu,,,,,100.0,32.95,91.0,100.0,31.0,
,,,,,,,,,,,,,,Retrievers (Labrador,,,,,,,1.0
,,,,,,,,,,,,,,German Shepherd Dog,,,,,,,2.0
,,,,,,,,,,,,,,Retrievers (Golden,,,,,,,3.0
,,,,,,,,,,,,,,French Bulldog,,,,,,,4.0
,,,,,,,,,,,,,,Bulldog,,,,,,,5.0
,,,,,,,,,,,,,,Beagle,,,,,,,6.0
,,,,,,,,,,,,,,Pointers (German Shorthaired,,,,,,,9.0
,,,,,,,,,,,,,,Yorkshire Terrier,,,,,,,10.0
,,,,,,,,,,,,,,Pembroke Welsh Corgi,,,,,,,13.0
,,,,,,,,,,,,,,Siberian Huskie,,,,,,,14.0
,,,,,,,,,,,,,,Australian Shepherd,,,,,,,15.0
,,,,,,,,,,,,,,Great Dane,,,,,,,16.0
,,,,,,,,,,,,,,Doberman Pinscher,,,,,,,17.0
,,,,,,,,,,,,,,Cavalier King Charles Spaniel,,,,,,,18.0
,,,,,,,,,,,,,,Miniature Schnauzer,,,,,,,19.0
,,,,,,,,,,,,,,Shih Tz,,,,,,,20.0
,,,,,,,,,,,,,,Boston Terrier,,,,,,,21.0
,,,,,,,,,,,,,,Bernese Mountain Dog,,,,,,,22.0
,,,,,,,,,,,,,,Pomeranian,,,,,,,23.0
,,,,,,,,,,,,,,Havanes,,,,,,,24.0
,,,,,,,,,,,,,,Shetland Sheepdog,,,,,,,25.0
,,,,,,,,,,,,,,Brittany,,,,,,,26.0
,,,,,,,,,,,,,,Spaniels (English Springer,,,,,,,27.0
,,,,,,,,,,,,,,Pug,,,,,,,28.0
,,,,,,,,,,,,,,Mastiff,,,,,,,29.0
,,,,,,,,,,,,,,Spaniels (Cocker,,,,,,,30.0
,,,,,,,,,,,,,,Vizsla,,,,,,,31.0
,,,,,,,,,,,,,,Cane Cors,,,,,,,32.0
,,,,,,,,,,,,,,Chihuahua,,,,,,,33.0
,,,,,,,,,,,,,,Miniature American Shepherd,,,,,,,34.0
,,,,,,,,,,,,,,Border Collie,,,,,,,35.0
,,,,,,,,,,,,,,Weimaraner,,,,,,,36.0
,,,,,,,,,,,,,,Maltes,,,,,,,37.0
,,,,,,,,,,,,,,Collie,,,,,,,38.0
,,,,,,,,,,,,,,Basset Hound,,,,,,,39.0
,,,,,,,,,,,,,,Newfoundland,,,,,,,40.0
,,,,,,,,,,,,,,Rhodesian Ridgeback,,,,,,,41.0
,,,,,,,,,,,,,,West Highland White Terrier,,,,,,,42.0
,,,,,,,,,,,,,,Belgian Malinoi,,,,,,,43.0
,,,,,,,,,,,,,,Shiba In,,,,,,,44.0
